Tiempo,Susceptibles,Infectados,Removidos
0.0,0.9999954550002046,4.49999979648751e-06,4.4999998984125037e-08
0.01,0.9999954097290563,4.500269597786225e-06,9.000134594372188e-08
0.02,0.9999953641838065,4.50080945242542e-06,1.350067411425443e-07
0.03,0.999995318361657,4.501619457551271e-06,1.8001888557270873e-07
0.04,0.9999952722597597,4.502699758955987e-06,2.2504048144099927e-07
0.05,0.9999952258752163,4.504050551121541e-06,2.700742326555369e-07
0.06,0.9999951792050774,4.505672077278017e-06,3.1512284531295906e-07
0.07,0.9999951322463423,4.5075646294766e-06,3.601890281862561e-07
0.08,0.999995084995958,4.509728548677243e-06,4.052754932134106e-07
0.09,0.9999950374508191,4.512164224851036e-06,4.503849559869871e-07
0.1,0.9999949896077666,4.5148720970973364e-06,4.955201362448196e-07
0.11,0.9999949414635878,4.5178526537756955e-06,5.406837583619433e-07
0.12,0.9999948930150154,4.521106432652647e-06,5.858785518439215e-07
0.13,0.9999948442587271,4.52463402106341e-06,6.311072518217127e-07
0.14,0.9999947951913444,4.528436056088586e-06,6.763725995482324e-07
0.15,0.9999947458094324,4.532513224745913e-06,7.21677342896754e-07
0.16,0.999994696109499,4.536866264197162e-06,7.670242368613058e-07
0.17,0.999994646087994,4.5414959619702675e-06,8.124160440592112e-07
0.18,0.9999945957413087,4.546403156196778e-06,8.578555352359273e-07
0.19,0.9999945450657745,4.5515887358647335e-06,9.033454897723351e-07
0.2,0.9999944940576628,4.55705364108707e-06,9.488886961946359e-07
0.21,0.999994442713184,4.562798863385671e-06,9.944879526870105e-07
0.22,0.9999943910284865,4.568825445991182e-06,1.0401460676071966e-06
0.23,0.999994338999656,4.5751344841587185e-06,1.085865860005144e-06
0.24,0.9999942866227145,4.581727125499595e-06,1.131650160144908e-06
0.25,0.9999942338936197,4.588604570329222e-06,1.1775018100299398e-06
0.26,0.9999941808082642,4.595768072031317e-06,1.2234236639319365e-06
0.27,0.9999941273624738,4.6032189374385824e-06,1.2694185889234177e-06
0.28,0.9999940735520075,4.610958527230012e-06,1.3154894654141897e-06
0.29,0.9999940193725562,4.618988256345001e-06,1.3616391876918686e-06
0.3,0.9999939648197413,4.6273095944144215e-06,1.4078706644666268e-06
0.31,0.9999939098891146,4.635924066208872e-06,1.454186819420339e-06
0.32,0.9999938545761564,4.644833252104263e-06,1.500590591760294e-06
0.33,0.9999937988762749,4.6540387885649595e-06,1.5470849367776527e-06
0.34,0.9999937427848052,4.66354236864468e-06,1.593672826410825e-06
0.35000000000000003,0.999993686297008,4.673345742505364e-06,1.6403572498139451e-06
0.36,0.9999936294080685,4.683450717954236e-06,1.6871412139306266e-06
0.37,0.9999935721130953,4.693859160999286e-06,1.7340277440731806e-06
0.38,0.9999935144071194,4.704572996423424e-06,1.7810198845074808e-06
0.39,0.9999934562850928,4.715594208377538e-06,1.828120699043666e-06
0.4,0.9999933977418877,4.726924840992719e-06,1.8753332716328668e-06
0.41000000000000003,0.9999933387722943,4.738566999011915e-06,1.9226607069701536e-06
0.42,0.9999932793710208,4.750522848441294e-06,1.970106131103898e-06
0.43,0.999993219532691,4.762794617221587e-06,2.017672692051747e-06
0.44,0.999993159251844,4.7753845959197086e-06,2.065363560423416e-06
0.45,0.9999930985229318,4.788295138440958e-06,2.113181930050493e-06
0.46,0.999993037340319,4.801528662762106e-06,2.161131018623478e-06
0.47000000000000003,0.9999929756982804,4.815087651685685e-06,2.2092140683362515e-06
0.48,0.9999929135910003,4.828974653615822e-06,2.2574343465381976e-06
0.49,0.9999928510125707,4.843192283355937e-06,2.305795146394193e-06
0.5,0.99999278795699,4.857743222928676e-06,2.3542997875526854e-06
